"","redshift","u","g","r","i","z","spec_obj_ID","plate","MJD","class"
"20",0.02609,1.88538,0.78989,0.33725,0.01107,-0.11024,0.52193,0.52195,0.44918,"GALAXY"
"21",2.32435,0.29954,0.61157,1.17484,1.76041,1.55383,-0.14868,-0.14871,0.01899,"QSO"
"22",-0.55656,-1.00213,-1.34276,-1.54153,-1.57609,-1.59522,-1.62584,-1.62585,-1.98599,"GALAXY"
"23",0.03586,0.91874,1.78835,1.09991,0.81285,0.60875,0.87796,0.87795,1.40799,"GALAXY"
"24",-0.02447,-0.0466,0.27745,0.19057,0.10705,0.00048,-0.15008,-0.15006,0.03337,"GALAXY"
"25",0.14392,0.93043,1.50882,0.91932,0.68569,0.48608,1.89445,1.89444,1.46827,"GALAXY"
"26",-0.20741,2.19141,0.3654,-0.09298,-0.19694,-0.29335,0.33129,0.33126,0.3585,"GALAXY"
"27",-0.78927,1.13456,0.64584,0.67113,0.38535,0.89618,-0.0498,-0.0498,0.08535,"STAR"
"28",-0.78947,-2.06892,-2.10673,-2.11581,-2.06201,-1.876,-0.95992,-0.95993,-0.53064,"STAR"
"29",-0.78919,0.88851,0.75438,1.61971,1.48089,1.8752,-0.40074,-0.40071,0.05051,"STAR"
"30",-0.16288,0.26979,0.47308,0.28999,0.1535,0.11225,0.56024,0.56023,0.46467,"GALAXY"
"31",-0.09169,0.37848,0.358,-0.02498,-0.27647,-0.40684,0.12062,0.12057,0.23243,"GALAXY"
"32",-0.63613,-1.30214,-1.55624,-1.60793,-1.61194,-1.54897,-1.52359,-1.52356,-1.9036,"GALAXY"
"33",-0.78939,-0.91578,-0.82496,-0.56903,-0.36161,-0.15015,-0.78348,-0.78346,-0.62851,"STAR"
"34",0.15152,0.26265,0.51655,0.49566,0.22024,0.1077,-0.38245,-0.38242,-0.12865,"GALAXY"
"35",-0.4615,0.78556,0.80213,1.16323,1.27237,1.03893,1.14285,1.14282,1.2786,"GALAXY"
"36",1.17499,0.09282,0.55484,1.10621,1.38501,1.67342,0.34347,0.34345,0.37398,"QSO"
"37",-0.0859,0.49066,0.99329,0.64617,0.44742,0.24995,0.01863,0.01862,0.26395,"GALAXY"
"38",-0.78922,-1.33658,-1.63186,-1.65738,-1.5879,-1.47377,-0.91286,-0.91285,-0.8425,"STAR"
"39",-0.78997,-0.06941,0.24496,0.70796,1.04881,1.15986,-0.29742,-0.2974,-0.04847,"STAR"
"40",0.15616,1.20333,1.35343,1.12701,0.76106,0.48972,1.11576,1.11573,1.04692,"GALAXY"
"41",-0.54855,-0.70205,-1.0423,-1.32332,-1.37106,-1.41693,-1.006,-1.006,-0.93982,"GALAXY"
"42",0.51203,0.73712,1.09444,1.55547,1.48648,2.17047,1.79418,1.79418,1.41076,"GALAXY"
"43",0.19609,0.24369,0.99568,1.47741,1.55594,2.29638,1.44156,1.44157,1.38864,"GALAXY"
"44",0.56001,0.52434,1.21458,1.39415,1.46155,1.7718,1.2292,1.2292,0.96453,"GALAXY"
"45",-0.42394,-0.09278,0.44595,0.65628,0.99586,0.93974,0.77397,0.77396,0.66926,"GALAXY"
"46",-0.58703,-0.79532,-1.20235,-1.39374,-1.50912,-1.57349,-0.04679,-0.04675,0.07318,"GALAXY"
"47",-0.31322,-0.78586,-0.52887,-0.53928,-0.43907,-0.44799,-1.237,-1.23701,-1.43581,"GALAXY"
"48",-0.78972,-0.44706,-0.18481,0.09351,0.30794,0.51544,-0.92775,-0.92776,-1.00672,"STAR"
"49",0.03181,1.26946,0.9662,0.48657,0.15006,0.02949,0.78207,0.78209,0.62668,"GALAXY"
"50",-0.78964,1.02624,1.08925,0.89773,0.70941,0.65546,1.04832,1.04832,1.40799,"STAR"
"51",1.36947,-0.76371,-0.30394,0.15397,0.34754,0.50522,-1.37927,-1.37927,-1.66031,"QSO"
"52",2.78914,0.14624,0.52813,1.09104,1.41768,1.75082,0.52163,0.52162,0.44034,"QSO"
"53",-0.63418,-0.70395,-1.10878,-1.23339,-1.28248,-1.34564,-1.38674,-1.38672,-1.72721,"GALAXY"
"54",3.8136,-0.4682,0.11148,0.519,0.8071,1.07515,2.5024,2.50244,1.84869,"QSO"
"55",-0.78905,-1.84195,-1.98809,-1.9191,-1.81565,-1.65855,-0.82513,-0.82513,-0.79329,"STAR"
"56",-0.78943,-0.5695,-0.95373,-0.94973,-0.83946,-0.74423,-1.09916,-1.09915,-1.29979,"STAR"
"57",-0.78999,-0.10928,0.28997,0.74278,1.03292,0.9459,2.08206,2.08209,1.56558,"STAR"
"58",-0.28887,1.65727,0.31915,-0.07644,-0.13854,-0.06055,0.57277,0.57276,0.46522,"GALAXY"
"59",2.96054,0.09253,0.27097,0.6081,1.03213,1.0985,-0.11277,-0.1128,0.04996,"QSO"
"60",-0.78986,1.45569,0.72278,0.87696,1.21233,1.29248,-0.35395,-0.35397,-0.06174,"STAR"
"61",-0.78871,0.86203,0.40823,0.74644,1.04808,1.89978,0.06913,0.06909,0.1893,"STAR"
"62",-0.28198,0.36759,0.80603,0.63104,0.48473,0.4806,0.27603,0.27605,0.47794,"GALAXY"
"63",3.5067,0.42877,0.91297,1.36403,1.83781,1.80085,2.09159,2.09157,1.57277,"QSO"
"64",-0.68873,-0.53443,2.19295,-0.85362,-0.86842,-0.77998,0.86239,0.86237,1.40689,"GALAXY"
"65",3.00548,0.07401,0.43518,0.87024,1.21773,1.19501,-0.39999,-0.40003,0.03724,"QSO"
"66",-0.74746,-1.44976,-1.5247,-1.32106,-1.18069,-1.04541,-0.96603,-0.96603,-1.04433,"GALAXY"
"67",-0.53023,-0.55646,-0.83817,-1.0667,-1.10769,-1.11832,-1.06259,-1.06257,-1.15768,"GALAXY"
"68",-0.16361,0.69438,0.62904,0.24566,0.11582,0.03571,0.54734,0.54736,0.44808,"GALAXY"
"69",-0.54774,-0.71114,-0.93265,-1.11344,-1.11528,-1.12237,-1.56284,-1.56285,-1.96996,"GALAXY"
"70",-0.25088,0.24113,0.14438,-0.28013,-0.35589,-0.38726,-0.13142,-0.13143,0.02452,"GALAXY"
"71",-0.7893,1.13457,0.60295,0.4768,0.56005,1.33814,1.89886,1.89884,1.4561,"STAR"
"72",-0.52442,-1.26798,-1.33155,-1.47246,-1.49537,-1.53205,-1.34134,-1.34133,-1.52871,"GALAXY"
"73",-0.78927,-2.01279,-2.27608,-2.28612,-2.21197,-2.08063,-0.75842,-0.7584,-0.56492,"STAR"
"74",0.25291,1.26857,1.33298,1.27174,1.04772,0.70155,0.83423,0.83425,0.77155,"GALAXY"
"75",0.24427,0.53833,1.34482,1.39718,0.96479,0.66729,0.86341,0.86338,0.78869,"GALAXY"
"76",-0.78941,1.13457,0.29461,0.65008,0.35836,0.91657,0.21979,0.21982,0.36624,"STAR"
"77",-0.79072,-2.1539,-2.11023,-1.90206,-1.73601,-1.54365,1.89852,1.8985,1.44283,"STAR"
"78",-0.78978,0.55008,0.40542,0.83967,1.22274,1.32221,0.64935,0.64931,0.5454,"STAR"
"79",-0.78922,1.03488,0.47333,0.21584,-0.35532,-0.67046,-1.31763,-1.31762,-1.60999,"STAR"
"80",-0.38994,-0.09123,-0.52158,-0.85534,-0.90619,-0.91164,-0.89015,-0.89016,-0.77891,"GALAXY"
"81",0.49141,-0.87961,-0.30531,0.11267,0.43741,0.54338,0.53412,0.53415,0.47462,"QSO"
"82",1.60009,-0.73689,-0.19897,0.33764,0.53759,0.70385,1.89107,1.89105,1.47158,"QSO"
"83",2.34895,-0.52382,-0.21879,0.21759,0.53801,0.69755,-0.49693,-0.49691,-0.06008,"QSO"
"84",-0.01734,0.54695,0.53146,0.38529,0.281,0.26586,-0.03661,-0.03659,0.08922,"GALAXY"
"85",2.20259,-0.30903,0.10889,0.53075,0.88472,0.92034,-0.31331,-0.31332,-0.07833,"QSO"
"86",0.97039,-0.59931,-0.01029,0.1859,0.50244,0.75468,2.00418,2.00418,1.5678,"QSO"
"87",-0.27631,0.44101,-0.06239,-0.46848,-0.50654,-0.54664,0.25706,0.25708,0.25344,"GALAXY"
"88",2.82185,-0.28074,-0.05185,0.40506,0.68703,0.70264,0.98871,0.98871,0.88325,"QSO"
"89",0.04906,0.52588,2.14473,1.1902,0.93594,0.65034,1.13844,1.13842,0.83846,"GALAXY"
"90",-0.7893,0.18273,-0.3424,-0.64255,-0.8732,-0.96547,0.42507,0.42508,0.41048,"STAR"
"91",0.07264,0.03677,0.41262,0.4829,0.22178,0.1977,-0.22492,-0.22492,0.00019,"GALAXY"
"92",2.32214,0.1699,0.57454,1.02004,1.43706,1.37479,-0.00103,-0.00103,0.15446,"QSO"
"93",-0.63783,-0.83384,-1.02406,-0.98097,-0.42737,-1.00183,-0.89962,-0.89964,-0.83089,"GALAXY"
"94",-0.70099,-1.56865,-2.07956,-2.30688,-2.39423,-2.40007,-1.5825,-1.5825,-2.0341,"GALAXY"
"95",-0.48895,-0.44291,-0.79358,-1.0379,-1.07493,-1.06866,-0.15951,-0.15955,0.13456,"GALAXY"
"96",-0.3016,0.21596,-0.11684,-0.54837,-0.60536,-0.65211,-1.52558,-1.52559,-1.94065,"GALAXY"
"97",0.20781,1.05946,1.96711,1.16843,0.75897,0.49204,2.09325,2.09326,1.55342,"GALAXY"
"98",-0.20684,0.22001,0.22697,-0.16695,-0.26985,-0.37954,-0.88506,-0.88508,-0.56437,"GALAXY"
"99",1.06465,-0.62148,0.03103,0.46449,0.86383,0.90493,0.77162,0.77159,0.83404,"QSO"
"100",-0.31101,0.13352,0.1733,-0.04573,0.0053,-0.07547,-0.22559,-0.2256,0.01567,"QSO"
"101",-0.69069,-1.28904,-1.28694,-1.16381,-1.11277,-1.03451,-1.26478,-1.26478,-1.30587,"GALAXY"
"102",-0.04845,1.51952,1.24179,1.059,0.78745,0.54703,2.09327,2.09326,1.55342,"GALAXY"
"103",-0.78866,-1.05893,-0.89328,-0.61469,-0.40309,-0.23327,0.50741,0.50739,0.43204,"STAR"
"104",-0.05701,0.45717,1.08286,0.99326,0.75126,0.49237,1.22752,1.2275,1.57111,"GALAXY"
"105",-0.22676,0.68476,0.19872,-0.21069,-0.26546,-0.25761,0.51754,0.51755,0.4431,"GALAXY"
"106",-0.45227,-0.25936,0.2795,0.52323,1.27167,1.52417,1.86936,1.86937,1.42348,"GALAXY"
"107",0.17976,-0.34579,0.10722,0.48699,0.70515,0.64511,1.36193,1.36197,1.14756,"QSO"
"108",-0.11836,2.19031,0.78442,0.23283,0.0284,-0.10572,0.06262,0.06265,0.22911,"GALAXY"
"109",-0.78918,-2.42713,-2.5164,-2.43174,-2.31944,-2.12947,-1.35559,-1.35556,-1.41812,"STAR"
"110",1.20347,-0.67544,-0.09694,0.17072,0.34886,0.39362,0.50401,0.504,0.44089,"QSO"
"111",0.2578,0.90639,1.7572,1.69827,1.16065,0.69752,0.88469,0.88472,1.37371,"GALAXY"
"112",-0.78994,-1.60179,-1.58447,-1.40389,-1.27826,-1.0911,2.09459,2.09462,1.56835,"STAR"
"113",-0.03091,0.8094,1.84075,0.56047,0.30649,0.1892,0.30011,0.30009,0.26561,"GALAXY"
"114",0.97634,-1.11646,-0.61124,-0.36026,-0.12759,-0.01268,-0.86779,-0.8678,-0.83144,"QSO"
"115",0.56407,0.29601,0.77783,1.21893,1.0774,0.76234,1.5015,1.50153,1.22552,"GALAXY"
"116",-0.78889,-1.03931,-0.85598,-0.57245,-0.35913,-0.20783,0.66486,0.66489,0.57913,"STAR"
"117",0.93013,0.0881,0.38797,0.56561,0.73978,0.85144,0.00777,0.00778,0.16939,"QSO"
"118",-0.20808,1.76512,0.30842,-0.10744,-0.23306,-0.25689,-0.24013,-0.24016,0.33196,"GALAXY"
"119",-0.65033,-1.46035,-1.93508,-2.1314,-2.17224,-2.19007,-0.15139,-0.15142,0.03558,"GALAXY"
"120",-0.78928,-1.11555,-1.14793,-1.01386,-0.85257,-0.70623,-0.65105,-0.65102,-0.40235,"STAR"
"121",-0.78914,-2.45291,-2.54578,-2.45115,-2.335,-2.16282,0.71742,0.71739,0.55756,"STAR"
"122",-0.78902,1.67832,0.2817,0.01158,-0.35515,-0.58886,0.80581,0.8058,0.65986,"STAR"
"123",-0.2981,0.20962,-0.02871,-0.47555,-0.51602,-0.52729,-0.15314,-0.15311,0.03779,"GALAXY"
"124",-0.7892,-0.38653,-1.15733,-1.46308,-1.53766,-1.54834,-0.21473,-0.21476,-0.01419,"STAR"
"125",0.51524,1.66365,1.44459,1.70481,1.08204,0.64778,0.9897,0.98972,1.27529,"GALAXY"
"126",-0.78923,-0.34462,-0.19578,0.07403,0.31826,0.50974,-0.74588,-0.74587,-0.51792,"STAR"
"127",-0.20251,0.33572,0.17407,-0.16235,-0.26798,-0.34844,-0.439,-0.43899,0.2363,"GALAXY"
"128",0.70724,-0.5879,0.08034,0.45195,0.77102,1.09676,1.09437,1.09439,1.01872,"QSO"
"129",-0.78913,0.18227,-0.08693,-0.30208,-0.62962,-0.77258,-1.36065,-1.36064,-1.65865,"STAR"
"130",-0.78947,-0.65666,-0.78701,-0.66959,-0.53353,-0.42504,-0.92744,-0.92742,-1.00894,"STAR"
"131",-0.78952,-1.62382,-1.89369,-1.91446,-1.84644,-1.71712,-0.65441,-0.65441,-0.40954,"STAR"
"132",-0.78892,-0.5642,-1.12384,-1.51469,-1.96207,-2.00977,-0.97212,-0.97213,-1.03714,"STAR"
"133",0.0348,0.60919,0.82995,0.45775,0.25906,0.22154,0.01758,0.0176,0.26837,"GALAXY"
"134",-0.6169,-0.69964,-1.09951,-1.23562,-1.2352,-1.26022,-0.81092,-0.8109,-0.73523,"GALAXY"
"135",-0.44608,0.45661,0.12731,-0.05165,-0.04707,-0.07929,1.26306,1.26307,1.0331,"GALAXY"
"136",-0.54306,-0.61361,-0.82046,-1.03172,-1.073,-1.07331,0.65882,0.6588,0.6217,"GALAXY"
"137",-0.16324,1.12798,0.86113,0.61084,0.4694,0.43622,0.30042,0.30043,0.27611,"GALAXY"
"138",1.89438,-0.48195,0.08784,0.5285,0.93474,1.05619,2.09193,2.09191,1.5689,"QSO"
"139",-0.0951,0.89047,0.65509,0.28774,0.0729,-0.00196,0.68044,0.68047,0.54429,"GALAXY"
"140",0.46624,0.32287,1.17863,1.58726,1.57845,1.57678,1.38734,1.38738,1.3527,"GALAXY"
"141",-0.7896,-1.90822,-2.01178,-1.58824,-1.27632,-1.04733,-0.77093,-0.77093,-0.55607,"STAR"
"142",-0.78808,0.03286,0.5466,1.08452,1.58264,1.68321,0.66895,0.66896,0.59572,"STAR"
"143",0.52235,0.10812,0.50121,0.85432,1.24753,1.27624,-1.22717,-1.22718,-1.46954,"QSO"
"144",0.36758,0.11153,0.67992,1.2124,1.43138,1.10359,0.73941,0.73941,0.62668,"QSO"
"145",-0.66466,-1.34013,-1.31053,-1.21686,-0.94657,-1.0954,-0.84175,-0.84172,-0.59754,"GALAXY"
"146",-0.61689,-1.28295,-1.46757,-1.56168,-1.57213,-1.57146,-1.13202,-1.132,-0.5981,"GALAXY"
"147",-0.28448,0.88729,1.47647,1.69915,2.03905,1.28919,1.50323,1.50322,1.21502,"GALAXY"
"148",-0.61676,-0.7134,-1.09634,-1.27869,-1.32144,-1.35826,-1.60078,-1.60079,-2.08552,"GALAXY"
"149",-0.68154,-1.05477,-1.45382,-1.61162,-1.64402,-1.66431,0.68389,0.68386,0.75773,"GALAXY"
"150",-0.29151,0.48265,-0.18925,-0.73795,-0.86006,-0.94701,-0.20457,-0.20459,0.14728,"GALAXY"
"151",-0.05991,-0.71052,-0.23215,0.17594,0.38228,0.48689,1.36604,1.36604,1.35989,"QSO"
"152",0.10617,0.44307,0.52682,0.5723,0.39615,0.35292,0.05081,0.0508,0.20091,"GALAXY"
"153",0.22076,0.58998,0.96009,1.25085,1.38067,2.2983,1.43988,1.43988,1.37426,"GALAXY"
"154",-0.03603,0.60566,0.74754,0.38009,0.21928,0.06804,0.10939,0.1094,0.22745,"GALAXY"
"155",0.17224,-0.11975,0.52313,0.5541,0.27616,0.24079,-0.26284,-0.26285,0.134,"GALAXY"
"156",-0.5857,-0.94784,-1.26345,-1.43113,-1.45289,-1.46231,-1.28885,-1.28883,-1.55248,"GALAXY"
"157",-0.78912,-0.62081,-1.21459,-1.39838,-1.4144,-1.36602,-0.64629,-0.64628,-0.39406,"STAR"
"158",0.25856,0.86959,1.39316,1.12539,0.80524,0.56439,0.93012,0.93011,0.96342,"GALAXY"
"159",-0.78916,-1.89339,-1.98186,-1.90128,-1.79029,-1.64647,-0.92742,-0.92742,-1.00894,"STAR"
"160",3.22772,0.17258,0.06075,0.44584,0.73021,0.84931,0.08539,0.08535,0.20146,"QSO"
"161",-0.7892,1.10667,1.17929,0.93239,0.43016,0.10717,0.99077,0.99074,1.47214,"STAR"
"162",-0.02415,1.52353,1.48301,1.0571,0.7931,0.61003,1.13944,1.13944,1.06738,"GALAXY"
"163",-0.78938,-0.10272,0.19924,0.73489,1.13359,1.13532,-0.10263,-0.10264,0.05327,"STAR"
"164",0.00904,0.54969,1.28286,0.86152,0.59743,0.3874,-0.13756,-0.13753,0.03724,"GALAXY"
"165",1.44734,-0.32108,0.18902,0.6493,0.93883,1.13715,1.06861,1.06864,0.98665,"QSO"
"166",-0.78874,-1.13497,-0.96189,-0.68905,-0.4534,-0.28316,-0.16326,-0.16327,0.01733,"STAR"
"167",-0.78928,-1.00022,-1.68689,-1.9535,-2.01082,-1.97321,-1.0924,-1.09237,-1.26937,"STAR"
"168",-0.57616,-0.69033,-0.99541,-1.09317,-1.11,-1.11951,-1.13876,-1.13878,-0.96304,"GALAXY"
"169",1.15579,-0.33536,0.30302,0.681,1.03416,1.23942,1.36336,1.36333,1.35546,"QSO"
"170",-0.78938,0.03421,-0.37391,-0.40943,-0.32015,-0.28801,-1.09206,-1.09203,-1.25389,"STAR"
"171",-0.78897,-0.1012,-0.33402,-0.91183,-1.20812,-1.32894,-1.19161,-1.19162,-1.38494,"STAR"
"172",-0.78939,0.94559,0.42979,0.7342,1.09459,1.27041,0.43053,0.4305,0.40937,"STAR"
"173",-0.25723,-0.1114,-0.17584,-0.59241,-0.63481,-0.70093,-1.02566,-1.02565,-1.17261,"GALAXY"
"174",-0.13343,1.52987,0.66492,0.30237,0.18623,0.01202,0.34315,0.34311,0.33085,"GALAXY"
"175",0.01551,1.23513,1.34019,0.76193,0.40149,0.30001,-0.02441,-0.0244,0.08313,"GALAXY"
"176",-0.59906,-0.87127,-1.11607,-1.21894,-1.18772,-1.19329,-1.13201,-1.132,-0.5981,"GALAXY"
"177",1.50812,-1.396,-0.91332,-0.47406,-0.30121,-0.06901,-1.24652,-1.24649,-1.36725,"QSO"
"178",1.09632,-0.96153,-0.31025,0.01149,0.29757,0.52854,-1.50665,-1.50663,-1.83946,"QSO"
"179",-0.57877,-0.93162,-1.2864,-1.58029,-1.64181,-1.70706,-1.61705,-1.61705,-1.99042,"GALAXY"
"180",-0.07491,0.37192,0.58837,0.0475,-0.14486,-0.23127,0.25135,0.25132,0.25344,"GALAXY"
"181",0.13796,-0.03682,0.57786,0.7165,0.61829,0.4802,-0.45657,-0.4566,-0.17675,"GALAXY"
"182",-0.55784,0.07391,0.89346,0.67958,0.51095,0.31279,-0.19239,-0.1924,0.02342,"GALAXY"
"183",3.67648,0.83149,0.3658,0.77232,1.05798,1.15627,0.9301,0.93011,0.96342,"QSO"
"184",1.20685,-0.08554,0.63154,1.09246,1.3724,1.23699,1.36804,1.36807,1.37758,"QSO"
"185",0.39389,1.35386,1.90537,1.17321,0.88246,0.67751,0.88572,0.88574,1.37316,"GALAXY"
"186",-0.24055,1.52501,0.77523,0.51058,0.33549,0.28124,0.46674,0.46674,0.52383,"GALAXY"
"187",-0.79026,-0.45039,-0.19344,0.05117,0.25002,0.3552,0.85526,0.85525,0.97835,"STAR"
"188",1.78559,-0.70464,-0.15059,0.41077,0.50117,0.70739,0.83458,0.83459,0.75773,"QSO"
"189",-0.74547,-1.94573,-2.07603,-2.08187,-2.06624,-2.00837,-1.40639,-1.40636,-1.74601,"GALAXY"
"190",-0.31118,1.30849,-0.04927,-0.42547,-0.4848,-0.45077,0.29604,0.29603,0.28441,"GALAXY"
"191",-0.78978,-2.11798,-2.21574,-2.02764,-1.87776,-1.70716,-1.07611,-1.07612,-1.27159,"STAR"
"192",-0.60351,-0.89701,-1.28633,-1.47918,-1.5127,-1.55932,-1.52187,-1.52187,-1.88867,"GALAXY"
"193",-0.45875,-0.41294,-0.62503,-0.91655,-0.94164,-0.92692,0.39766,0.39764,0.47462,"GALAXY"
"194",0.08894,1.58514,1.20386,0.98681,0.61293,0.48811,0.67304,0.67302,0.62557,"GALAXY"
"195",-0.07561,1.78373,0.71051,0.38651,0.21118,0.17902,0.29333,0.29332,0.39942,"GALAXY"
"196",0.23808,0.51367,0.82663,1.06058,1.0324,1.11917,1.42056,1.42057,1.17354,"GALAXY"
"197",-0.08215,0.30683,0.66528,0.28084,0.08425,-0.00547,-0.16905,-0.16903,0.20312,"GALAXY"
"198",0.25078,-0.29431,0.16916,0.58494,0.4791,0.47584,0.30621,0.30619,0.28385,"QSO"
"199",0.69515,-0.214,0.30517,0.70711,1.07641,1.34453,1.15125,1.15129,1.34164,"QSO"
"200",0.25054,-0.63114,-0.14165,0.27012,0.47257,0.44053,-1.50967,-1.50967,-1.87375,"QSO"
"201",1.43499,-0.49071,0.04984,0.47991,0.70231,0.89682,2.01024,2.01028,1.57443,"QSO"
"202",-0.06964,0.76211,0.60469,0.43015,0.29809,0.2475,-0.32344,-0.32348,-0.07888,"GALAXY"
"203",-0.17028,0.38574,0.3982,-0.07301,-0.18968,-0.26692,-0.46167,-0.46168,-0.19058,"GALAXY"
"204",1.09365,-0.34578,0.17779,0.59049,0.91657,0.98404,0.83457,0.83459,0.75773,"QSO"
"205",0.42189,1.90499,1.23881,0.94963,0.60702,0.08722,2.08312,2.0831,1.57056,"GALAXY"
"206",0.19723,-0.09415,0.21129,0.69345,0.97754,1.03157,-0.23307,-0.23305,-0.02469,"QSO"
"207",0.21984,1.50818,0.94046,1.38087,1.37405,1.37453,1.41654,1.41651,1.35712,"GALAXY"
"208",-0.62869,-0.96768,-1.36921,-1.55278,-1.59484,-1.63252,-1.34441,-1.34438,-1.58013,"GALAXY"
"209",-0.74363,-2.48788,-2.89511,-3.11214,-3.209,-3.21859,-1.61364,-1.61366,-2.10156,"GALAXY"
"210",2.21292,0.14746,0.49221,1.21516,1.56901,1.68659,0.94058,0.94061,0.96342,"QSO"
"211",0.03205,0.51204,0.9948,0.74286,0.48057,0.30982,-0.11484,-0.11483,0.04609,"GALAXY"
"212",-0.18872,1.80354,0.22171,-0.14331,-0.27992,-0.34889,0.46538,0.46539,0.52604,"GALAXY"
"213",-0.08397,1.08331,0.51865,0.32557,0.10906,0.08787,-0.31298,-0.31298,-0.07722,"GALAXY"
"214",0.02011,0.26588,0.13885,0.33084,0.24728,0.15842,-0.43556,-0.4356,-0.1585,"GALAXY"
"215",-0.07589,1.4206,0.76472,0.53133,0.32366,0.22492,0.24525,0.24522,0.26561,"GALAXY"
"216",1.65612,-0.99598,-0.33972,0.01196,0.22343,0.28948,-1.30916,-1.30915,-1.43747,"QSO"
"217",0.25223,1.45583,1.95605,1.36293,0.98721,0.64988,1.89847,1.8985,1.44283,"GALAXY"
"218",-0.7891,-0.23002,-0.64986,-0.76822,-0.72871,-0.67629,-1.36067,-1.36064,-1.65865,"STAR"
"219",-0.07458,-0.0412,0.49971,0.12447,-0.04723,-0.02964,0.64794,0.64796,0.54429,"GALAXY"
"220",0.41486,-0.30464,0.14581,0.61672,0.90893,0.94822,0.52433,0.52433,0.45527,"QSO"
"221",-0.16133,0.11987,0.3107,-0.0348,-0.16357,-0.26805,-0.19304,-0.19308,0.00019,"GALAXY"
"222",0.10558,1.95129,1.04401,0.65682,0.38262,0.2279,-0.17408,-0.17411,0.01789,"GALAXY"
"223",0.10872,0.064,0.97039,0.46034,0.1457,-0.12024,0.35326,0.35327,0.39389,"GALAXY"
"224",0.03834,0.36349,0.99371,0.69632,0.40322,0.21233,0.52638,0.52636,0.45582,"GALAXY"
"225",1.71108,-0.35822,0.17936,0.65529,0.85353,0.97538,1.26304,1.26307,1.0331,"QSO"
"226",-0.44503,-0.41336,-0.02383,0.20965,0.48731,0.59216,-1.37794,-1.37791,-1.6581,"GALAXY"
"227",-0.38159,0.08536,-0.38248,-0.77247,-0.84639,-0.83405,-1.43417,-1.43414,-1.76316,"GALAXY"
"228",2.21575,-0.80326,-0.39139,0.12356,0.39002,0.44531,-0.13924,-0.13922,0.0682,"QSO"
"229",-0.05185,0.82552,0.87939,0.59408,0.39579,0.30309,-0.04639,-0.04641,0.06986,"GALAXY"
"230",-0.53778,-0.71085,-0.95543,-1.16438,-1.18633,-1.20465,-1.4223,-1.42228,-1.59285,"GALAXY"
"231",-0.04718,0.94219,0.93022,1.06951,1.03125,0.79017,1.36604,1.36604,1.35989,"QSO"
"232",-0.11596,0.84456,0.82209,0.46616,0.36372,0.36652,-0.1734,-0.17343,0.02397,"GALAXY"
"233",-0.10551,0.62853,0.55447,0.32487,0.13138,0.05222,0.54702,0.54702,0.42983,"GALAXY"
"234",-0.10557,0.7835,0.63429,0.3175,0.1209,0.03873,0.10125,0.10127,0.23575,"GALAXY"
"235",2.67932,0.02334,0.3846,0.90731,1.37325,1.28116,-0.16799,-0.16801,0.19815,"QSO"
