"","u","g","z","redshift","MJD","cam_col","fieldbin","runbin","class"
"23",0.91874,1.78835,0.60875,0.03586,1.40799,"5","(-0.774,-0.45]","(0.8,1.9]","GALAXY"
"24",-0.0466,0.27745,0.00048,-0.02447,0.03337,"4","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
"25",0.93043,1.50882,0.48608,0.14392,1.46827,"1","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"26",2.19141,0.3654,-0.29335,-0.20741,0.3585,"4","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"27",1.13456,0.64584,0.89618,-0.78927,0.08535,"4","(-0.06,0.58]","(-0.327,0.048]","STAR"
"28",-2.06892,-2.10673,-1.876,-0.78947,-0.53064,"6","(-0.06,0.58]","(0.048,0.8]","STAR"
"29",0.88851,0.75438,1.8752,-0.78919,0.05051,"2","(-1.18,-0.774]","(0.048,0.8]","STAR"
"30",0.26979,0.47308,0.11225,-0.16288,0.46467,"3","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"31",0.37848,0.358,-0.40684,-0.09169,0.23243,"1","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"32",-1.30214,-1.55624,-1.54897,-0.63613,-1.9036,"1","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"33",-0.91578,-0.82496,-0.15015,-0.78939,-0.62851,"4","(-0.774,-0.45]","(-0.327,0.048]","STAR"
"34",0.26265,0.51655,0.1077,0.15152,-0.12865,"5","(-0.06,0.58]","(-2.23,-0.831]","GALAXY"
"35",0.78556,0.80213,1.03893,-0.4615,1.2786,"4","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"36",0.09282,0.55484,1.67342,1.17499,0.37398,"5","(-0.06,0.58]","(0.8,1.9]","QSO"
"37",0.49066,0.99329,0.24995,-0.0859,0.26395,"6","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"38",-1.33658,-1.63186,-1.47377,-0.78922,-0.8425,"6","(-0.45,-0.06]","(0.048,0.8]","STAR"
"39",-0.06941,0.24496,1.15986,-0.78997,-0.04847,"4","(0.58,5.4]","(0.8,1.9]","STAR"
"40",1.20333,1.35343,0.48972,0.15616,1.04692,"1","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
"41",-0.70205,-1.0423,-1.41693,-0.54855,-0.93982,"3","(0.58,5.4]","(0.048,0.8]","GALAXY"
"42",0.73712,1.09444,2.17047,0.51203,1.41076,"3","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"43",0.24369,0.99568,2.29638,0.19609,1.38864,"4","(0.58,5.4]","(0.048,0.8]","GALAXY"
"44",0.52434,1.21458,1.7718,0.56001,0.96453,"5","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"45",-0.09278,0.44595,0.93974,-0.42394,0.66926,"1","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"46",-0.79532,-1.20235,-1.57349,-0.58703,0.07318,"4","(-0.774,-0.45]","(0.048,0.8]","GALAXY"
"47",-0.78586,-0.52887,-0.44799,-0.31322,-1.43581,"5","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"48",-0.44706,-0.18481,0.51544,-0.78972,-1.00672,"5","(-0.45,-0.06]","(0.048,0.8]","STAR"
"49",1.26946,0.9662,0.02949,0.03181,0.62668,"5","(-1.18,-0.774]","(-2.23,-0.831]","GALAXY"
"50",1.02624,1.08925,0.65546,-0.78964,1.40799,"3","(-1.18,-0.774]","(-0.831,-0.327]","STAR"
"51",-0.76371,-0.30394,0.50522,1.36947,-1.66031,"6","(-0.45,-0.06]","(-0.831,-0.327]","QSO"
"52",0.14624,0.52813,1.75082,2.78914,0.44034,"3","(0.58,5.4]","(-0.831,-0.327]","QSO"
"53",-0.70395,-1.10878,-1.34564,-0.63418,-1.72721,"3","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"54",-0.4682,0.11148,1.07515,3.8136,1.84869,"6","(-0.774,-0.45]","(0.8,1.9]","QSO"
"55",-1.84195,-1.98809,-1.65855,-0.78905,-0.79329,"6","(-0.06,0.58]","(0.8,1.9]","STAR"
"56",-0.5695,-0.95373,-0.74423,-0.78943,-1.29979,"3","(-0.45,-0.06]","(-2.23,-0.831]","STAR"
"57",-0.10928,0.28997,0.9459,-0.78999,1.56558,"6","(0.58,5.4]","(0.8,1.9]","STAR"
"58",1.65727,0.31915,-0.06055,-0.28887,0.46522,"2","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"59",0.09253,0.27097,1.0985,2.96054,0.04996,"3","(-0.06,0.58]","(-2.23,-0.831]","QSO"
"60",1.45569,0.72278,1.29248,-0.78986,-0.06174,"5","(-0.774,-0.45]","(0.8,1.9]","STAR"
"61",0.86203,0.40823,1.89978,-0.78871,0.1893,"4","(-1.18,-0.774]","(-0.831,-0.327]","STAR"
"62",0.36759,0.80603,0.4806,-0.28198,0.47794,"2","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"63",0.42877,0.91297,1.80085,3.5067,1.57277,"2","(-0.774,-0.45]","(0.8,1.9]","QSO"
"64",-0.53443,2.19295,-0.77998,-0.68873,1.40689,"2","(-0.774,-0.45]","(0.8,1.9]","GALAXY"
"65",0.07401,0.43518,1.19501,3.00548,0.03724,"3","(-0.06,0.58]","(0.048,0.8]","QSO"
"66",-1.44976,-1.5247,-1.04541,-0.74746,-1.04433,"3","(-0.45,-0.06]","(0.048,0.8]","GALAXY"
"67",-0.55646,-0.83817,-1.11832,-0.53023,-1.15768,"5","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"68",0.69438,0.62904,0.03571,-0.16361,0.44808,"5","(-0.774,-0.45]","(-0.831,-0.327]","GALAXY"
"69",-0.71114,-0.93265,-1.12237,-0.54774,-1.96996,"5","(0.58,5.4]","(-2.23,-0.831]","GALAXY"
"70",0.24113,0.14438,-0.38726,-0.25088,0.02452,"5","(-0.45,-0.06]","(-2.23,-0.831]","GALAXY"
"71",1.13457,0.60295,1.33814,-0.7893,1.4561,"5","(-1.18,-0.774]","(-0.327,0.048]","STAR"
"72",-1.26798,-1.33155,-1.53205,-0.52442,-1.52871,"2","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"73",-2.01279,-2.27608,-2.08063,-0.78927,-0.56492,"3","(0.58,5.4]","(-0.831,-0.327]","STAR"
"74",1.26857,1.33298,0.70155,0.25291,0.77155,"4","(-0.774,-0.45]","(0.8,1.9]","GALAXY"
"75",0.53833,1.34482,0.66729,0.24427,0.78869,"3","(-0.774,-0.45]","(0.8,1.9]","GALAXY"
"76",1.13457,0.29461,0.91657,-0.78941,0.36624,"1","(-0.06,0.58]","(0.048,0.8]","STAR"
"77",-2.1539,-2.11023,-1.54365,-0.79072,1.44283,"6","(-1.18,-0.774]","(-0.327,0.048]","STAR"
"78",0.55008,0.40542,1.32221,-0.78978,0.5454,"4","(-0.06,0.58]","(0.8,1.9]","STAR"
"79",1.03488,0.47333,-0.67046,-0.78922,-1.60999,"3","(-0.774,-0.45]","(-0.831,-0.327]","STAR"
"80",-0.09123,-0.52158,-0.91164,-0.38994,-0.77891,"1","(0.58,5.4]","(0.048,0.8]","GALAXY"
"81",-0.87961,-0.30531,0.54338,0.49141,0.47462,"2","(-0.06,0.58]","(-2.23,-0.831]","QSO"
"82",-0.73689,-0.19897,0.70385,1.60009,1.47158,"4","(-1.18,-0.774]","(-2.23,-0.831]","QSO"
"83",-0.52382,-0.21879,0.69755,2.34895,-0.06008,"6","(-0.774,-0.45]","(-2.23,-0.831]","QSO"
"84",0.54695,0.53146,0.26586,-0.01734,0.08922,"2","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"85",-0.30903,0.10889,0.92034,2.20259,-0.07833,"5","(-1.18,-0.774]","(-0.327,0.048]","QSO"
"86",-0.59931,-0.01029,0.75468,0.97039,1.5678,"3","(-0.774,-0.45]","(0.048,0.8]","QSO"
"87",0.44101,-0.06239,-0.54664,-0.27631,0.25344,"5","(0.58,5.4]","(0.048,0.8]","GALAXY"
"88",-0.28074,-0.05185,0.70264,2.82185,0.88325,"2","(-0.774,-0.45]","(-0.327,0.048]","QSO"
"89",0.52588,2.14473,0.65034,0.04906,0.83846,"3","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"90",0.18273,-0.3424,-0.96547,-0.7893,0.41048,"3","(-0.45,-0.06]","(-2.23,-0.831]","STAR"
"91",0.03677,0.41262,0.1977,0.07264,0.00019,"5","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"92",0.1699,0.57454,1.37479,2.32214,0.15446,"2","(-0.774,-0.45]","(0.048,0.8]","QSO"
"93",-0.83384,-1.02406,-1.00183,-0.63783,-0.83089,"3","(0.58,5.4]","(0.048,0.8]","GALAXY"
"94",-1.56865,-2.07956,-2.40007,-0.70099,-2.0341,"1","(-0.06,0.58]","(-2.23,-0.831]","GALAXY"
"95",-0.44291,-0.79358,-1.06866,-0.48895,0.13456,"6","(0.58,5.4]","(0.8,1.9]","GALAXY"
"96",0.21596,-0.11684,-0.65211,-0.3016,-1.94065,"4","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"97",1.05946,1.96711,0.49204,0.20781,1.55342,"2","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"98",0.22001,0.22697,-0.37954,-0.20684,-0.56437,"1","(0.58,5.4]","(0.048,0.8]","GALAXY"
"99",-0.62148,0.03103,0.90493,1.06465,0.83404,"3","(0.58,5.4]","(-0.831,-0.327]","QSO"
"100",0.13352,0.1733,-0.07547,-0.31101,0.01567,"4","(-1.18,-0.774]","(-0.831,-0.327]","QSO"
"101",-1.28904,-1.28694,-1.03451,-0.69069,-1.30587,"3","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"102",1.51952,1.24179,0.54703,-0.04845,1.55342,"4","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"103",-1.05893,-0.89328,-0.23327,-0.78866,0.43204,"1","(-0.06,0.58]","(-0.831,-0.327]","STAR"
"104",0.45717,1.08286,0.49237,-0.05701,1.57111,"2","(-0.45,-0.06]","(0.048,0.8]","GALAXY"
"105",0.68476,0.19872,-0.25761,-0.22676,0.4431,"5","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"106",-0.25936,0.2795,1.52417,-0.45227,1.42348,"6","(-0.06,0.58]","(0.8,1.9]","GALAXY"
"107",-0.34579,0.10722,0.64511,0.17976,1.14756,"1","(-0.06,0.58]","(-2.23,-0.831]","QSO"
"108",2.19031,0.78442,-0.10572,-0.11836,0.22911,"4","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"109",-2.42713,-2.5164,-2.12947,-0.78918,-1.41812,"2","(-0.06,0.58]","(-0.327,0.048]","STAR"
"110",-0.67544,-0.09694,0.39362,1.20347,0.44089,"5","(-0.774,-0.45]","(-0.831,-0.327]","QSO"
"111",0.90639,1.7572,0.69752,0.2578,1.37371,"6","(-0.06,0.58]","(0.8,1.9]","GALAXY"
"112",-1.60179,-1.58447,-1.0911,-0.78994,1.56835,"4","(-0.774,-0.45]","(0.8,1.9]","STAR"
"113",0.8094,1.84075,0.1892,-0.03091,0.26561,"5","(-0.774,-0.45]","(0.048,0.8]","GALAXY"
"114",-1.11646,-0.61124,-0.01268,0.97634,-0.83144,"4","(-0.45,-0.06]","(0.048,0.8]","QSO"
"115",0.29601,0.77783,0.76234,0.56407,1.22552,"2","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"116",-1.03931,-0.85598,-0.20783,-0.78889,0.57913,"5","(-1.18,-0.774]","(-0.831,-0.327]","STAR"
"117",0.0881,0.38797,0.85144,0.93013,0.16939,"3","(-0.774,-0.45]","(-2.23,-0.831]","QSO"
"118",1.76512,0.30842,-0.25689,-0.20808,0.33196,"3","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"119",-1.46035,-1.93508,-2.19007,-0.65033,0.03558,"4","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"120",-1.11555,-1.14793,-0.70623,-0.78928,-0.40235,"3","(-0.45,-0.06]","(-0.831,-0.327]","STAR"
"121",-2.45291,-2.54578,-2.16282,-0.78914,0.55756,"6","(-0.774,-0.45]","(-0.831,-0.327]","STAR"
"122",1.67832,0.2817,-0.58886,-0.78902,0.65986,"6","(-0.06,0.58]","(-2.23,-0.831]","STAR"
"123",0.20962,-0.02871,-0.52729,-0.2981,0.03779,"3","(-0.774,-0.45]","(-0.831,-0.327]","GALAXY"
"124",-0.38653,-1.15733,-1.54834,-0.7892,-0.01419,"1","(-0.774,-0.45]","(0.048,0.8]","STAR"
"125",1.66365,1.44459,0.64778,0.51524,1.27529,"2","(-1.18,-0.774]","(-2.23,-0.831]","GALAXY"
"126",-0.34462,-0.19578,0.50974,-0.78923,-0.51792,"1","(0.58,5.4]","(-0.327,0.048]","STAR"
"127",0.33572,0.17407,-0.34844,-0.20251,0.2363,"4","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"128",-0.5879,0.08034,1.09676,0.70724,1.01872,"3","(-0.774,-0.45]","(-0.327,0.048]","QSO"
"129",0.18227,-0.08693,-0.77258,-0.78913,-1.65865,"3","(0.58,5.4]","(-2.23,-0.831]","STAR"
"130",-0.65666,-0.78701,-0.42504,-0.78947,-1.00894,"2","(-0.45,-0.06]","(0.048,0.8]","STAR"
"131",-1.62382,-1.89369,-1.71712,-0.78952,-0.40954,"5","(-1.18,-0.774]","(-0.327,0.048]","STAR"
"132",-0.5642,-1.12384,-2.00977,-0.78892,-1.03714,"4","(-0.774,-0.45]","(0.048,0.8]","STAR"
"133",0.60919,0.82995,0.22154,0.0348,0.26837,"4","(0.58,5.4]","(-0.831,-0.327]","GALAXY"
"134",-0.69964,-1.09951,-1.26022,-0.6169,-0.73523,"1","(-1.18,-0.774]","(0.048,0.8]","GALAXY"
"135",0.45661,0.12731,-0.07929,-0.44608,1.0331,"5","(-0.774,-0.45]","(-0.327,0.048]","GALAXY"
"136",-0.61361,-0.82046,-1.07331,-0.54306,0.6217,"4","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"137",1.12798,0.86113,0.43622,-0.16324,0.27611,"3","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"138",-0.48195,0.08784,1.05619,1.89438,1.5689,"3","(-1.18,-0.774]","(0.048,0.8]","QSO"
"139",0.89047,0.65509,-0.00196,-0.0951,0.54429,"3","(0.58,5.4]","(0.8,1.9]","GALAXY"
"140",0.32287,1.17863,1.57678,0.46624,1.3527,"4","(-0.45,-0.06]","(-0.327,0.048]","GALAXY"
"141",-1.90822,-2.01178,-1.04733,-0.7896,-0.55607,"4","(-0.45,-0.06]","(0.048,0.8]","STAR"
"142",0.03286,0.5466,1.68321,-0.78808,0.59572,"2","(-0.774,-0.45]","(-2.23,-0.831]","STAR"
"143",0.10812,0.50121,1.27624,0.52235,-1.46954,"6","(0.58,5.4]","(0.048,0.8]","QSO"
"144",0.11153,0.67992,1.10359,0.36758,0.62668,"3","(-0.774,-0.45]","(-2.23,-0.831]","QSO"
"145",-1.34013,-1.31053,-1.0954,-0.66466,-0.59754,"2","(0.58,5.4]","(0.048,0.8]","GALAXY"
"146",-1.28295,-1.46757,-1.57146,-0.61689,-0.5981,"1","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"147",0.88729,1.47647,1.28919,-0.28448,1.21502,"4","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"148",-0.7134,-1.09634,-1.35826,-0.61676,-2.08552,"5","(0.58,5.4]","(0.048,0.8]","GALAXY"
"149",-1.05477,-1.45382,-1.66431,-0.68154,0.75773,"4","(0.58,5.4]","(0.8,1.9]","GALAXY"
"150",0.48265,-0.18925,-0.94701,-0.29151,0.14728,"6","(-0.45,-0.06]","(0.048,0.8]","GALAXY"
"151",-0.71052,-0.23215,0.48689,-0.05991,1.35989,"3","(-0.06,0.58]","(0.8,1.9]","QSO"
"152",0.44307,0.52682,0.35292,0.10617,0.20091,"3","(-0.774,-0.45]","(0.048,0.8]","GALAXY"
"153",0.58998,0.96009,2.2983,0.22076,1.37426,"2","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"154",0.60566,0.74754,0.06804,-0.03603,0.22745,"2","(0.58,5.4]","(-0.831,-0.327]","GALAXY"
"155",-0.11975,0.52313,0.24079,0.17224,0.134,"5","(-0.45,-0.06]","(0.8,1.9]","GALAXY"
"156",-0.94784,-1.26345,-1.46231,-0.5857,-1.55248,"3","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"157",-0.62081,-1.21459,-1.36602,-0.78912,-0.39406,"2","(-0.45,-0.06]","(-2.23,-0.831]","STAR"
"158",0.86959,1.39316,0.56439,0.25856,0.96342,"5","(-0.45,-0.06]","(0.8,1.9]","GALAXY"
"159",-1.89339,-1.98186,-1.64647,-0.78916,-1.00894,"6","(-0.45,-0.06]","(0.048,0.8]","STAR"
"160",0.17258,0.06075,0.84931,3.22772,0.20146,"3","(-0.45,-0.06]","(0.048,0.8]","QSO"
"161",1.10667,1.17929,0.10717,-0.7892,1.47214,"3","(-0.774,-0.45]","(0.048,0.8]","STAR"
"162",1.52353,1.48301,0.61003,-0.02415,1.06738,"5","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
"163",-0.10272,0.19924,1.13532,-0.78938,0.05327,"2","(-0.45,-0.06]","(-0.327,0.048]","STAR"
"164",0.54969,1.28286,0.3874,0.00904,0.03724,"2","(-0.45,-0.06]","(-2.23,-0.831]","GALAXY"
"165",-0.32108,0.18902,1.13715,1.44734,0.98665,"2","(-0.06,0.58]","(0.8,1.9]","QSO"
"166",-1.13497,-0.96189,-0.28316,-0.78874,0.01733,"3","(-0.774,-0.45]","(-0.327,0.048]","STAR"
"167",-1.00022,-1.68689,-1.97321,-0.78928,-1.26937,"1","(-1.18,-0.774]","(-2.23,-0.831]","STAR"
"168",-0.69033,-0.99541,-1.11951,-0.57616,-0.96304,"4","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"169",-0.33536,0.30302,1.23942,1.15579,1.35546,"4","(-0.774,-0.45]","(0.8,1.9]","QSO"
"170",0.03421,-0.37391,-0.28801,-0.78938,-1.25389,"3","(-1.18,-0.774]","(-2.23,-0.831]","STAR"
"171",-0.1012,-0.33402,-1.32894,-0.78897,-1.38494,"4","(-1.18,-0.774]","(-0.327,0.048]","STAR"
"172",0.94559,0.42979,1.27041,-0.78939,0.40937,"6","(0.58,5.4]","(0.048,0.8]","STAR"
"173",-0.1114,-0.17584,-0.70093,-0.25723,-1.17261,"1","(0.58,5.4]","(0.048,0.8]","GALAXY"
"174",1.52987,0.66492,0.01202,-0.13343,0.33085,"4","(0.58,5.4]","(0.8,1.9]","GALAXY"
"175",1.23513,1.34019,0.30001,0.01551,0.08313,"4","(-0.774,-0.45]","(0.8,1.9]","GALAXY"
"176",-0.87127,-1.11607,-1.19329,-0.59906,-0.5981,"1","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"177",-1.396,-0.91332,-0.06901,1.50812,-1.36725,"2","(-1.18,-0.774]","(-0.831,-0.327]","QSO"
"178",-0.96153,-0.31025,0.52854,1.09632,-1.83946,"2","(-0.45,-0.06]","(-0.327,0.048]","QSO"
"179",-0.93162,-1.2864,-1.70706,-0.57877,-1.99042,"3","(0.58,5.4]","(-2.23,-0.831]","GALAXY"
"180",0.37192,0.58837,-0.23127,-0.07491,0.25344,"1","(0.58,5.4]","(0.048,0.8]","GALAXY"
"181",-0.03682,0.57786,0.4802,0.13796,-0.17675,"5","(-0.45,-0.06]","(-2.23,-0.831]","GALAXY"
"182",0.07391,0.89346,0.31279,-0.55784,0.02342,"1","(-0.06,0.58]","(-2.23,-0.831]","GALAXY"
"183",0.83149,0.3658,1.15627,3.67648,0.96342,"4","(-0.45,-0.06]","(0.8,1.9]","QSO"
"184",-0.08554,0.63154,1.23699,1.20685,1.37758,"5","(-1.18,-0.774]","(-0.327,0.048]","QSO"
"185",1.35386,1.90537,0.67751,0.39389,1.37316,"3","(-0.06,0.58]","(0.8,1.9]","GALAXY"
"186",1.52501,0.77523,0.28124,-0.24055,0.52383,"4","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"187",-0.45039,-0.19344,0.3552,-0.79026,0.97835,"1","(-0.45,-0.06]","(0.8,1.9]","STAR"
"188",-0.70464,-0.15059,0.70739,1.78559,0.75773,"5","(-0.06,0.58]","(0.8,1.9]","QSO"
"189",-1.94573,-2.07603,-2.00837,-0.74547,-1.74601,"2","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"190",1.30849,-0.04927,-0.45077,-0.31118,0.28441,"6","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"191",-2.11798,-2.21574,-1.70716,-0.78978,-1.27159,"5","(-1.18,-0.774]","(-2.23,-0.831]","STAR"
"192",-0.89701,-1.28633,-1.55932,-0.60351,-1.88867,"2","(-0.45,-0.06]","(-2.23,-0.831]","GALAXY"
"193",-0.41294,-0.62503,-0.92692,-0.45875,0.47462,"4","(-0.45,-0.06]","(0.048,0.8]","GALAXY"
"194",1.58514,1.20386,0.48811,0.08894,0.62557,"4","(-0.06,0.58]","(-2.23,-0.831]","GALAXY"
"195",1.78373,0.71051,0.17902,-0.07561,0.39942,"3","(-0.45,-0.06]","(0.048,0.8]","GALAXY"
"196",0.51367,0.82663,1.11917,0.23808,1.17354,"3","(-0.06,0.58]","(0.8,1.9]","GALAXY"
"197",0.30683,0.66528,-0.00547,-0.08215,0.20312,"2","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
"198",-0.29431,0.16916,0.47584,0.25078,0.28385,"1","(-1.18,-0.774]","(-0.831,-0.327]","QSO"
"199",-0.214,0.30517,1.34453,0.69515,1.34164,"3","(-0.45,-0.06]","(0.048,0.8]","QSO"
"200",-0.63114,-0.14165,0.44053,0.25054,-1.87375,"6","(-1.18,-0.774]","(-0.327,0.048]","QSO"
"201",-0.49071,0.04984,0.89682,1.43499,1.57443,"3","(-0.45,-0.06]","(0.048,0.8]","QSO"
"202",0.76211,0.60469,0.2475,-0.06964,-0.07888,"3","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"203",0.38574,0.3982,-0.26692,-0.17028,-0.19058,"5","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"204",-0.34578,0.17779,0.98404,1.09365,0.75773,"4","(-0.06,0.58]","(0.8,1.9]","QSO"
"205",1.90499,1.23881,0.08722,0.42189,1.57056,"2","(0.58,5.4]","(0.8,1.9]","GALAXY"
"206",-0.09415,0.21129,1.03157,0.19723,-0.02469,"3","(-1.18,-0.774]","(-0.831,-0.327]","QSO"
"207",1.50818,0.94046,1.37453,0.21984,1.35712,"5","(-0.45,-0.06]","(0.8,1.9]","GALAXY"
"208",-0.96768,-1.36921,-1.63252,-0.62869,-1.58013,"2","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
"209",-2.48788,-2.89511,-3.21859,-0.74363,-2.10156,"4","(-0.45,-0.06]","(-0.327,0.048]","GALAXY"
"210",0.14746,0.49221,1.68659,2.21292,0.96342,"4","(-1.18,-0.774]","(0.8,1.9]","QSO"
"211",0.51204,0.9948,0.30982,0.03205,0.04609,"4","(-0.06,0.58]","(-2.23,-0.831]","GALAXY"
"212",1.80354,0.22171,-0.34889,-0.18872,0.52604,"5","(-0.774,-0.45]","(0.8,1.9]","GALAXY"
"213",1.08331,0.51865,0.08787,-0.08397,-0.07722,"5","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"214",0.26588,0.13885,0.15842,0.02011,-0.1585,"3","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"215",1.4206,0.76472,0.22492,-0.07589,0.26561,"5","(0.58,5.4]","(0.048,0.8]","GALAXY"
"216",-0.99598,-0.33972,0.28948,1.65612,-1.43747,"3","(-0.774,-0.45]","(-0.831,-0.327]","QSO"
"217",1.45583,1.95605,0.64988,0.25223,1.44283,"4","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"218",-0.23002,-0.64986,-0.67629,-0.7891,-1.65865,"2","(-0.45,-0.06]","(-0.327,0.048]","STAR"
"219",-0.0412,0.49971,-0.02964,-0.07458,0.54429,"1","(-0.06,0.58]","(0.8,1.9]","GALAXY"
"220",-0.30464,0.14581,0.94822,0.41486,0.45527,"3","(-0.06,0.58]","(-0.831,-0.327]","QSO"
"221",0.11987,0.3107,-0.26805,-0.16133,0.00019,"6","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
"222",1.95129,1.04401,0.2279,0.10558,0.01789,"1","(-0.774,-0.45]","(-0.327,0.048]","GALAXY"
"223",0.064,0.97039,-0.12024,0.10872,0.39389,"2","(-0.06,0.58]","(0.8,1.9]","GALAXY"
"224",0.36349,0.99371,0.21233,0.03834,0.45582,"4","(0.58,5.4]","(-2.23,-0.831]","GALAXY"
"225",-0.35822,0.17936,0.97538,1.71108,1.0331,"4","(-0.774,-0.45]","(-0.327,0.048]","QSO"
