"","alpha","delta","u","i","redshift","plate","MJD","fiber_ID","cam_col","fieldbin","runbin","class"
"21",0.739893690288168,-0.524131688113769,0.29954,1.76041,2.32435,-0.14871,0.01899,1.33096,"3","(-0.45,-0.06]","(-0.327,0.048]","QSO"
"22",-0.0455987815854858,-0.130581229384816,-1.00213,-1.57609,-0.55656,-1.62585,-1.98599,0.2704,"5","(-0.06,0.58]","(-2.23,-0.831]","GALAXY"
"23",-0.707722342653328,-0.928711117134106,0.91874,0.81285,0.03586,0.87795,1.40799,0.71811,"5","(-0.774,-0.45]","(0.8,1.9]","GALAXY"
"24",0.423048530748975,0.899463023560259,-0.0466,0.10705,-0.02447,-0.15006,0.03337,-1.08006,"4","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
"25",0.99105667981473,-0.321061102086079,0.93043,0.68569,0.14392,1.89444,1.46827,1.18784,"1","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"26",0.745693687391528,-0.955139531871353,2.19141,-0.19694,-0.20741,0.33126,0.3585,1.57316,"4","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"27",0.332255883977886,0.976154511548985,1.13456,0.38535,-0.78927,-0.0498,0.08535,0.01352,"4","(-0.06,0.58]","(-0.327,0.048]","STAR"
"28",0.788821793158778,-0.492666737458437,-2.06892,-2.06201,-0.78947,-0.95993,-0.53064,0.47224,"6","(-0.06,0.58]","(0.048,0.8]","STAR"
"29",0.985331611608279,-0.664927778667408,0.88851,1.48089,-0.78919,-0.40071,0.05051,-1.16447,"2","(-1.18,-0.774]","(0.048,0.8]","STAR"
"30",0.875996618423986,0.425426361310472,0.26979,0.1535,-0.16288,0.56023,0.46467,0.44655,"3","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"31",0.761569877104155,-0.309693323496813,0.37848,-0.27647,-0.09169,0.12057,0.23243,2.00986,"1","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"32",0.913614044182511,-0.458688979069178,-1.30214,-1.61194,-0.63613,-1.52356,-1.9036,-1.47273,"1","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"33",0.456691506276523,-0.961497004108612,-0.91578,-0.36161,-0.78939,-0.78346,-0.62851,-1.15713,"4","(-0.774,-0.45]","(-0.327,0.048]","STAR"
"34",-0.810230745078566,0.637323659133016,0.26265,0.22024,0.15152,-0.38242,-0.12865,-1.28557,"5","(-0.06,0.58]","(-2.23,-0.831]","GALAXY"
"35",-0.877255157037472,-0.0962225312751684,0.78556,1.27237,-0.4615,1.14282,1.2786,1.51078,"4","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"36",0.599420864331594,0.945845175311478,0.09282,1.38501,1.17499,0.34345,0.37398,1.00802,"5","(-0.06,0.58]","(0.8,1.9]","QSO"
"37",0.893190555967991,-0.268470144074474,0.49066,0.44742,-0.0859,0.01862,0.26395,0.57132,"6","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"38",0.482242160413842,-0.733172017672467,-1.33658,-1.5879,-0.78922,-0.91285,-0.8425,-0.41951,"6","(-0.45,-0.06]","(0.048,0.8]","STAR"
"39",-0.254278048548179,-0.477953503738062,-0.06941,1.04881,-0.78997,-0.2974,-0.04847,-0.81951,"4","(0.58,5.4]","(0.8,1.9]","STAR"
"40",-0.616175594900606,0.58694204450735,1.20333,0.76106,0.15616,1.11573,1.04692,1.89243,"1","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
"41",-0.924972686461973,0.723470442100312,-0.70205,-1.37106,-0.54855,-1.006,-0.93982,-0.01217,"3","(0.58,5.4]","(0.048,0.8]","GALAXY"
"42",0.0392707060545743,0.895347395535877,0.73712,1.48648,0.51203,1.79418,1.41076,0.49793,"3","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"43",-0.0886786441478847,0.927892411007146,0.24369,1.55594,0.19609,1.44157,1.38864,-0.02685,"4","(0.58,5.4]","(0.048,0.8]","GALAXY"
"44",-0.020027736230277,0.777665789270645,0.52434,1.46155,0.56001,1.2292,0.96453,0.67041,"5","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"45",0.0518640773484202,-0.704136585660948,-0.09278,0.99586,-0.42394,0.77396,0.66926,0.57499,"1","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"46",0.863431212886067,-0.556504910609204,-0.79532,-1.50912,-0.58703,-0.04675,0.07318,-1.54979,"4","(-0.774,-0.45]","(0.048,0.8]","GALAXY"
"47",0.860739438861541,0.764247782341178,-0.78586,-0.43907,-0.31322,-1.23701,-1.43581,0.1493,"5","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"48",0.71931350576259,-0.629970385612745,-0.44706,0.30794,-0.78972,-0.92776,-1.00672,-0.0562,"5","(-0.45,-0.06]","(0.048,0.8]","STAR"
"49",-0.988017410782938,-0.193153098399579,1.26946,0.15006,0.03181,0.78209,0.62668,-0.65437,"5","(-1.18,-0.774]","(-2.23,-0.831]","GALAXY"
"50",-0.997621601469832,0.272763570800205,1.02624,0.70941,-0.78964,1.04832,1.40799,0.2227,"3","(-1.18,-0.774]","(-0.831,-0.327]","STAR"
"51",0.263504518237286,0.61401701306355,-0.76371,0.34754,1.36947,-1.37927,-1.66031,-0.43786,"6","(-0.45,-0.06]","(-0.831,-0.327]","QSO"
"52",-0.824390218641399,0.793854754104985,0.14624,1.41768,2.78914,0.52162,0.44034,0.84655,"3","(0.58,5.4]","(-0.831,-0.327]","QSO"
"53",-0.315764839343169,-0.420259311787148,-0.70395,-1.28248,-0.63418,-1.38672,-1.72721,-1.40667,"3","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"54",0.279026299815042,0.017492394635802,-0.4682,0.8071,3.8136,2.50244,1.84869,-1.03603,"6","(-0.774,-0.45]","(0.8,1.9]","QSO"
"55",0.522901247144792,-0.745990865069976,-1.84195,-1.81565,-0.78905,-0.82513,-0.79329,-0.42685,"6","(-0.06,0.58]","(0.8,1.9]","STAR"
"56",0.846885117211224,0.49493064312959,-0.5695,-0.83946,-0.78943,-1.09915,-1.29979,-0.93694,"3","(-0.45,-0.06]","(-2.23,-0.831]","STAR"
"57",-0.996509498258351,-0.840480845082956,-0.10928,1.03292,-0.78999,2.08209,1.56558,-0.90759,"6","(0.58,5.4]","(0.8,1.9]","STAR"
"58",0.294708946433377,0.894596010121599,1.65727,-0.13854,-0.28887,0.57276,0.46522,0.68508,"2","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"59",-0.577517341744872,-0.246593316401946,0.09253,1.03213,2.96054,-0.1128,0.04996,1.32362,"3","(-0.06,0.58]","(-2.23,-0.831]","QSO"
"60",0.748474784761996,-0.451279007516242,1.45569,1.21233,-0.78986,-0.35397,-0.06174,0.80619,"5","(-0.774,-0.45]","(0.8,1.9]","STAR"
"61",0.951560212413377,0.504615249169517,0.86203,1.04808,-0.78871,0.06909,0.1893,1.66124,"4","(-1.18,-0.774]","(-0.831,-0.327]","STAR"
"62",-0.745791673461086,-0.922776448170945,0.36759,0.48473,-0.28198,0.27605,0.47794,-0.61034,"2","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"63",0.874777034781822,-0.999914762300825,0.42877,1.83781,3.5067,2.09157,1.57277,1.16215,"2","(-0.774,-0.45]","(0.8,1.9]","QSO"
"64",-0.998715911585153,-0.999292051233824,-0.53443,-0.86842,-0.68873,0.86237,1.40689,1.4594,"2","(-0.774,-0.45]","(0.8,1.9]","GALAXY"
"65",-0.925825982076207,-0.0479691575874648,0.07401,1.21773,3.00548,-0.40003,0.03724,2.00619,"3","(-0.06,0.58]","(0.048,0.8]","QSO"
"66",-0.840324091910851,0.166815594756148,-1.44976,-1.18069,-0.74746,-0.96603,-1.04433,-0.12226,"3","(-0.45,-0.06]","(0.048,0.8]","GALAXY"
"67",-0.709237159662893,0.988078322528278,-0.55646,-1.10769,-0.53023,-1.06257,-1.15768,-1.21584,"5","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"68",-0.865841370095308,-0.996533957827236,0.69438,0.11582,-0.16361,0.54736,0.44808,-0.76447,"5","(-0.774,-0.45]","(-0.831,-0.327]","GALAXY"
"69",0.735013336451828,-0.995681536635571,-0.71114,-1.11528,-0.54774,-1.56285,-1.96996,0.03554,"5","(0.58,5.4]","(-2.23,-0.831]","GALAXY"
"70",0.964671427419772,0.684371456529669,0.24113,-0.35589,-0.25088,-0.13143,0.02452,0.53096,"5","(-0.45,-0.06]","(-2.23,-0.831]","GALAXY"
"71",-0.889850834021862,0.797309468542215,1.13457,0.56005,-0.7893,1.89884,1.4561,1.40069,"5","(-1.18,-0.774]","(-0.327,0.048]","STAR"
"72",-0.427102587704427,-0.530742772061861,-1.26798,-1.49537,-0.52442,-1.34133,-1.52871,-0.68373,"2","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"73",0.394831295842059,0.829990489343908,-2.01279,-2.21197,-0.78927,-0.7584,-0.56492,-1.22685,"3","(0.58,5.4]","(-0.831,-0.327]","STAR"
"74",-0.508927562235281,-0.839570547365662,1.26857,1.04772,0.25291,0.83425,0.77155,-0.96997,"4","(-0.774,-0.45]","(0.8,1.9]","GALAXY"
"75",0.996554563146305,-0.992129783896983,0.53833,0.96479,0.24427,0.86338,0.78869,1.61353,"3","(-0.774,-0.45]","(0.8,1.9]","GALAXY"
"76",0.0385063923889577,-0.624009210608881,1.13457,0.35836,-0.78941,0.21982,0.36624,-1.25254,"1","(-0.06,0.58]","(0.048,0.8]","STAR"
"77",0.184547671329684,0.633650081458477,-2.1539,-1.73601,-0.79072,1.8985,1.44283,1.25757,"6","(-1.18,-0.774]","(-0.327,0.048]","STAR"
"78",0.954374750623219,-0.919182160075278,0.55008,1.22274,-0.78978,0.64931,0.5454,1.68326,"4","(-0.06,0.58]","(0.8,1.9]","STAR"
"79",0.294602241913715,0.957600157165679,1.03488,-0.35532,-0.78922,-1.31762,-1.60999,-0.62502,"3","(-0.774,-0.45]","(-0.831,-0.327]","STAR"
"80",0.625270072959809,-0.620586642391402,-0.09123,-0.90619,-0.38994,-0.89016,-0.77891,-0.01584,"1","(0.58,5.4]","(0.048,0.8]","GALAXY"
"81",0.980391626245563,0.103373989411581,-0.87961,0.43741,0.49141,0.53415,0.47462,-0.90025,"2","(-0.06,0.58]","(-2.23,-0.831]","QSO"
"82",-0.486313629884904,0.506911771849701,-0.73689,0.53759,1.60009,1.89105,1.47158,1.29426,"4","(-1.18,-0.774]","(-2.23,-0.831]","QSO"
"83",-0.183055953424693,0.576105628782216,-0.52382,0.53801,2.34895,-0.49691,-0.06008,-1.23786,"6","(-0.774,-0.45]","(-2.23,-0.831]","QSO"
"84",0.94436158578396,-0.800623378286776,0.54695,0.281,-0.01734,-0.03659,0.08922,-0.75713,"2","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"85",0.905707618066887,0.682699073875697,-0.30903,0.88472,2.20259,-0.31332,-0.07833,0.35481,"5","(-1.18,-0.774]","(-0.327,0.048]","QSO"
"86",0.248130665269515,0.691679444310833,-0.59931,0.50244,0.97039,2.00418,1.5678,0.32545,"3","(-0.774,-0.45]","(0.048,0.8]","QSO"
"87",0.814989395136546,-0.496172789385034,0.44101,-0.50654,-0.27631,0.25708,0.25344,-0.69474,"5","(0.58,5.4]","(0.048,0.8]","GALAXY"
"88",-0.832143145764117,0.992522256880122,-0.28074,0.68703,2.82185,0.98871,0.88325,0.49793,"2","(-0.774,-0.45]","(-0.327,0.048]","QSO"
"89",-0.328599414722742,-0.999997579831913,0.52588,0.93594,0.04906,1.13842,0.83846,0.97499,"3","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"90",-0.649361276213278,0.564228609247714,0.18273,-0.8732,-0.7893,0.42508,0.41048,-0.40483,"3","(-0.45,-0.06]","(-2.23,-0.831]","STAR"
"91",-0.672012385192656,-0.943838554565278,0.03677,0.22178,0.07264,-0.22492,0.00019,-0.30208,"5","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"92",0.972132346587057,0.615939635503037,0.1699,1.43706,2.32214,-0.00103,0.15446,-0.26905,"2","(-0.774,-0.45]","(0.048,0.8]","QSO"
"93",0.738967187861023,-0.332917467793544,-0.83384,-0.42737,-0.63783,-0.89964,-0.83089,0.68508,"3","(0.58,5.4]","(0.048,0.8]","GALAXY"
"94",-0.0320195826580429,0.958137359388991,-1.56865,-2.39423,-0.70099,-1.5825,-2.0341,-0.50024,"1","(-0.06,0.58]","(-2.23,-0.831]","GALAXY"
"95",0.152788978084276,0.933519433288456,-0.44291,-1.07493,-0.48895,-0.15955,0.13456,1.52179,"6","(0.58,5.4]","(0.8,1.9]","GALAXY"
"96",-0.564824189137594,-0.236936148857983,0.21596,-0.60536,-0.3016,-1.52559,-1.94065,0.37683,"4","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"97",-0.986884623844445,0.126451376427663,1.05946,0.75897,0.20781,2.09326,1.55342,-0.36079,"2","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"98",-0.829371564291779,-0.510104981503863,0.22001,-0.26985,-0.20684,-0.88508,-0.56437,0.55664,"1","(0.58,5.4]","(0.048,0.8]","GALAXY"
"99",-0.756899283536133,0.824032237148373,-0.62148,0.86383,1.06465,0.77159,0.83404,1.77133,"3","(0.58,5.4]","(-0.831,-0.327]","QSO"
"100",0.726835588146687,-0.997889455160687,0.13352,0.0053,-0.31101,-0.2256,0.01567,0.12361,"4","(-1.18,-0.774]","(-0.831,-0.327]","QSO"
"101",-0.98278154563851,-0.919543136460791,-1.28904,-1.11277,-0.69069,-1.26478,-1.30587,-0.41584,"3","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"102",-0.868818393768029,-0.7031800753688,1.51952,0.78745,-0.04845,2.09326,1.55342,0.55664,"4","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"103",-0.972723787938301,-0.640590095504313,-1.05893,-0.40309,-0.78866,0.50739,0.43204,1.15481,"1","(-0.06,0.58]","(-0.831,-0.327]","STAR"
"104",0.12464384850031,0.900896801663015,0.45717,0.75126,-0.05701,1.2275,1.57111,1.11445,"2","(-0.45,-0.06]","(0.048,0.8]","GALAXY"
"105",0.555808971292323,-0.854139391790233,0.68476,-0.26546,-0.22676,0.51755,0.4431,-0.23235,"5","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"106",0.0230435314296791,-0.84505261130549,-0.25936,1.27167,-0.45227,1.86937,1.42348,-0.04153,"6","(-0.06,0.58]","(0.8,1.9]","GALAXY"
"107",0.996552815151354,0.620139249048121,-0.34579,0.70515,0.17976,1.36197,1.14756,-1.59016,"1","(-0.06,0.58]","(-2.23,-0.831]","QSO"
"108",-0.582718117355445,-0.790314985192713,2.19031,0.0284,-0.11836,0.06265,0.22911,-1.29291,"4","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"109",-0.961674655334309,0.69664630619787,-2.42713,-2.31944,-0.78918,-1.35556,-1.41812,-1.60117,"2","(-0.06,0.58]","(-0.327,0.048]","STAR"
"110",-0.749196285376802,-0.999982041222682,-0.67544,0.34886,1.20347,0.504,0.44089,0.40618,"5","(-0.774,-0.45]","(-0.831,-0.327]","QSO"
"111",-0.0181330351881238,0.887150994576561,0.90639,1.16065,0.2578,0.88472,1.37371,-1.3663,"6","(-0.06,0.58]","(0.8,1.9]","GALAXY"
"112",-0.844913107596069,-0.670202913051996,-1.60179,-1.27826,-0.78994,2.09462,1.56835,-0.89291,"4","(-0.774,-0.45]","(0.8,1.9]","STAR"
"113",0.94965725741494,-0.996478885426484,0.8094,0.30649,-0.03091,0.30009,0.26561,0.55664,"5","(-0.774,-0.45]","(0.048,0.8]","GALAXY"
"114",-0.876887839476517,0.639144242683647,-1.11646,-0.12759,0.97634,-0.8678,-0.83144,0.34013,"4","(-0.45,-0.06]","(0.048,0.8]","QSO"
"115",0.623163524985345,0.55318505539765,0.29601,1.0774,0.56407,1.50153,1.22552,-0.84887,"2","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"116",-0.314260464554213,0.749891250704211,-1.03931,-0.35913,-0.78889,0.66489,0.57913,-1.25988,"5","(-1.18,-0.774]","(-0.831,-0.327]","STAR"
"117",-0.972937861097949,-0.738105518257678,0.0881,0.73978,0.93013,0.00778,0.16939,-0.70942,"3","(-0.774,-0.45]","(-2.23,-0.831]","QSO"
"118",-0.998941195296113,0.980089310887502,1.76512,-0.23306,-0.20808,-0.24016,0.33196,1.16215,"3","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"119",-0.0846094350863141,0.422995421009521,-1.46035,-2.17224,-0.65033,-0.15142,0.03558,1.24289,"4","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"120",-0.496992557431869,0.915375023512076,-1.11555,-0.85257,-0.78928,-0.65102,-0.40235,-1.37731,"3","(-0.45,-0.06]","(-0.831,-0.327]","STAR"
"121",-0.999861861693036,0.620308887210475,-2.45291,-2.335,-0.78914,0.71739,0.55756,1.25023,"6","(-0.774,-0.45]","(-0.831,-0.327]","STAR"
"122",-0.794827274990271,-0.984848832912881,1.67832,-0.35515,-0.78902,0.8058,0.65986,0.67775,"6","(-0.06,0.58]","(-2.23,-0.831]","STAR"
"123",0.0838523357341,0.855923637231302,0.20962,-0.51602,-0.2981,-0.15311,0.03779,-1.29658,"3","(-0.774,-0.45]","(-0.831,-0.327]","GALAXY"
"124",0.120752876139205,-0.393204168333693,-0.38653,-1.53766,-0.7892,-0.21476,-0.01419,1.28325,"1","(-0.774,-0.45]","(0.048,0.8]","STAR"
"125",0.880713408116878,0.240699842034708,1.66365,1.08204,0.51524,0.98972,1.27529,-0.72777,"2","(-1.18,-0.774]","(-2.23,-0.831]","GALAXY"
"126",0.77013507549161,0.992532688443963,-0.34462,0.31826,-0.78923,-0.74587,-0.51792,-0.61401,"1","(0.58,5.4]","(-0.327,0.048]","STAR"
"127",0.999306410108688,0.996557016260499,0.33572,-0.26798,-0.20251,-0.43899,0.2363,-0.87823,"4","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"128",0.025751420680831,-0.90699719626078,-0.5879,0.77102,0.70724,1.09439,1.01872,-0.29841,"3","(-0.774,-0.45]","(-0.327,0.048]","QSO"
"129",-0.246078907540684,0.984515227287229,0.18227,-0.62962,-0.78913,-1.36064,-1.65865,-0.77548,"3","(0.58,5.4]","(-2.23,-0.831]","STAR"
"130",0.338064230481879,0.999669108244687,-0.65666,-0.53353,-0.78947,-0.92742,-1.00894,-1.29658,"2","(-0.45,-0.06]","(0.048,0.8]","STAR"
"131",-0.842939860608913,-0.828831958597446,-1.62382,-1.84644,-0.78952,-0.65441,-0.40954,0.06123,"5","(-1.18,-0.774]","(-0.327,0.048]","STAR"
"132",-0.967886243642608,-0.689900044660786,-0.5642,-1.96207,-0.78892,-0.97213,-1.03714,0.19701,"4","(-0.774,-0.45]","(0.048,0.8]","STAR"
"133",0.841967047563638,0.38092344823642,0.60919,0.25906,0.0348,0.0176,0.26837,-1.00667,"4","(0.58,5.4]","(-0.831,-0.327]","GALAXY"
"134",0.158559028937174,-0.735383100264874,-0.69964,-1.2352,-0.6169,-0.8109,-0.73523,-1.18282,"1","(-1.18,-0.774]","(0.048,0.8]","GALAXY"
"135",-0.68050232790601,-0.320286224532104,0.45661,-0.04707,-0.44608,1.26307,1.0331,0.13462,"5","(-0.774,-0.45]","(-0.327,0.048]","GALAXY"
"136",-0.799207463125676,-0.224554311182878,-0.61361,-1.073,-0.54306,0.6588,0.6217,1.17683,"4","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"137",-0.923247282871453,0.447110107283068,1.12798,0.4694,-0.16324,0.30043,0.27611,-0.47089,"3","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"138",0.731131426195126,0.703130560357244,-0.48195,0.93474,1.89438,2.09191,1.5689,1.35298,"3","(-1.18,-0.774]","(0.048,0.8]","QSO"
"139",0.743840900993123,0.277996798340466,0.89047,0.0729,-0.0951,0.68047,0.54429,-1.30025,"3","(0.58,5.4]","(0.8,1.9]","GALAXY"
"140",-0.896806793890325,0.982349579039276,0.32287,1.57845,0.46624,1.38738,1.3527,-1.49108,"4","(-0.45,-0.06]","(-0.327,0.048]","GALAXY"
"141",-0.81909732938532,0.861628556117735,-1.90822,-1.27632,-0.7896,-0.77093,-0.55607,-0.11492,"4","(-0.45,-0.06]","(0.048,0.8]","STAR"
"142",0.959053794182859,0.378361090788514,0.03286,1.58264,-0.78808,0.66896,0.59572,0.03921,"2","(-0.774,-0.45]","(-2.23,-0.831]","STAR"
"143",-0.627273107194245,0.432422732415295,0.10812,1.24753,0.52235,-1.22718,-1.46954,0.33279,"6","(0.58,5.4]","(0.048,0.8]","QSO"
"144",-0.683922357527134,-0.97836278714065,0.11153,1.43138,0.36758,0.73941,0.62668,0.00985,"3","(-0.774,-0.45]","(-2.23,-0.831]","QSO"
"145",0.888084955645868,-0.552802636199451,-1.34013,-0.94657,-0.66466,-0.84172,-0.59754,-1.49475,"2","(0.58,5.4]","(0.048,0.8]","GALAXY"
"146",-0.855918520177453,0.998179282217199,-1.28295,-1.57213,-0.61689,-1.132,-0.5981,-1.13878,"1","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"147",-0.856713879756222,0.152288788686982,0.88729,2.03905,-0.28448,1.50322,1.21502,0.94931,"4","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"148",-0.493975341755266,0.70341302817014,-0.7134,-1.32144,-0.61676,-1.60079,-2.08552,0.20435,"5","(0.58,5.4]","(0.048,0.8]","GALAXY"
"149",-0.722186291893567,0.623163190306611,-1.05477,-1.64402,-0.68154,0.68386,0.75773,1.49243,"4","(0.58,5.4]","(0.8,1.9]","GALAXY"
"150",-0.879826113692297,-0.739212843214142,0.48265,-0.86006,-0.29151,-0.20459,0.14728,0.94197,"6","(-0.45,-0.06]","(0.048,0.8]","GALAXY"
"151",0.832621872724164,-0.327662518448157,-0.71052,0.38228,-0.05991,1.36604,1.35989,0.43554,"3","(-0.06,0.58]","(0.8,1.9]","QSO"
"152",-0.0201079526202137,0.495983204439202,0.44307,0.39615,0.10617,0.0508,0.20091,0.65206,"3","(-0.774,-0.45]","(0.048,0.8]","GALAXY"
"153",-0.96424516718782,0.801216471532644,0.58998,1.38067,0.22076,1.43988,1.37426,0.41719,"2","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"154",-0.167380920932893,-0.629352227319065,0.60566,0.21928,-0.03603,0.1094,0.22745,-0.36446,"2","(0.58,5.4]","(-0.831,-0.327]","GALAXY"
"155",0.485050942558476,-0.368978222188171,-0.11975,0.27616,0.17224,-0.26285,0.134,0.72545,"5","(-0.45,-0.06]","(0.8,1.9]","GALAXY"
"156",0.127093051921727,-0.123917927042413,-0.94784,-1.45289,-0.5857,-1.28883,-1.55248,-1.10575,"3","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"157",0.653438556575031,0.831601721520396,-0.62081,-1.4144,-0.78912,-0.64628,-0.39406,-0.66538,"2","(-0.45,-0.06]","(-2.23,-0.831]","STAR"
"158",-0.973266355681399,-0.856280108705482,0.86959,0.80524,0.25856,0.93011,0.96342,0.61536,"5","(-0.45,-0.06]","(0.8,1.9]","GALAXY"
"159",0.840264870300865,0.702193071863838,-1.89339,-1.79029,-0.78916,-0.92742,-1.00894,-0.44887,"6","(-0.45,-0.06]","(0.048,0.8]","STAR"
"160",0.833964806193883,-0.797419511939807,0.17258,0.73021,3.22772,0.08535,0.20146,1.84839,"3","(-0.45,-0.06]","(0.048,0.8]","QSO"
"161",0.746559741384046,-0.934889844677323,1.10667,0.43016,-0.7892,0.99074,1.47214,1.55482,"3","(-0.774,-0.45]","(0.048,0.8]","STAR"
"162",0.782598762338744,0.986143982557973,1.52353,0.7931,-0.02415,1.13944,1.06738,0.63004,"5","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
"163",0.999608093424013,0.876899593406495,-0.10272,1.13359,-0.78938,-0.10264,0.05327,0.52362,"2","(-0.45,-0.06]","(-0.327,0.048]","STAR"
"164",0.609988776151089,-0.36615428263666,0.54969,0.59743,0.00904,-0.13753,0.03724,-1.62319,"2","(-0.45,-0.06]","(-2.23,-0.831]","GALAXY"
